policy_id,section_number,category,policy_type,requirement_level,natural_language,original_text,references,has_references
HIPAA-0222,164.314(a)(a),Security Standards,Requirement,N/A,"A covered entity or business associate may not use or disclose protected health information, except as permitted or required by this subpartor by subpart C of par t 160 of this subchapter.","A covered entity or business associate may not use or disclose protected health information, except as permitted or required by this subpartor by subpart C of par t 160 of this subchapter.",,No
HIPAA-0223,164.314(a)(1),Security Standards,Requirement,N/A,A covered entity is permitted to use or disclose protected health information as follows:.,A covered entity is permitted to use or disclose protected health information as follows:.,,No
HIPAA-0224,164.314(a)(ii),Security Standards,Requirement,N/A,"For treatment, payment, or health care oper ations, as permitted by and in compliance with § 164.","For treatment, payment, or health care oper ations, as permitted by and in compliance with § 164.",,No
HIPAA-0225,164.314(a)(iii),Security Standards,Requirement,N/A,"Incident to a use or disclosure other wise permitted or required by this subpart, provided that the covered entity has complied with the applicable requirements of §§ 164.","Incident to a use or disclosure other wise permitted or required by this subpart, provided that the covered entity has complied with the applicable requirements of §§ 164.",,No
HIPAA-0226,164.314(a)(c),Security Standards,Requirement,N/A,With r espect to such other wise permitted or required use or disclosure;.,with r espect to such other wise permitted or required use or disclosure;.,,No
HIPAA-0227,164.314(a)(iv),Security Standards,Requirement,N/A,Except for uses and disclosures pr ohibited under § 164.,Except for uses and disclosures pr ohibited under § 164.,,No
HIPAA-0228,164.314(a)(i),Security Standards,Requirement,N/A,", pursuant to and in compliance with a valid authorization under § 164.",", pursuant to and in compliance with a valid authorization under § 164.",,No
HIPAA-0229,164.314(a)(v),Security Standards,Requirement,N/A,"Pursuant to an agreement under , or as other wise permitted by,§ 164.","Pursuant to an agreement under , or as other wise permitted by,§ 164.",,No
HIPAA-0230,164.314(a)(vi),Security Standards,Requirement,N/A,As permitted by and in compliance with any of the following: (A)This section.,As permitted by and in compliance with any of the following: (A)This section.,,No
HIPAA-0231,164.314(a)(2),Security Standards,Requirement,N/A,A covered entity is required to disclose protected health information:.,A covered entity is required to disclose protected health information:.,,No
HIPAA-0232,164.314(a)(i),Security Standards,Requirement,N/A,"To an individual, when requested under , and required by§ 164.","To an individual, when requested under , and required by§ 164.",,No
HIPAA-0233,164.314(a)(ii),Security Standards,Requirement,N/A,When required by the Secr etary under subpart C of par t 160 of this subchapter to inv estigate or determine the covered entity's compliance with this subchapter.,When required by the Secr etary under subpart C of par t 160 of this subchapter to inv estigate or determine the covered entity's compliance with this subchapter.,,No
HIPAA-0234,164.314(a)(3),Security Standards,Requirement,N/A,Business associates: P ermitted uses and disclosures.,Business associates: P ermitted uses and disclosures.,,No
HIPAA-0235,164.314(a)(3),Security Standards,Requirement,N/A,A business associate may use or disclose protected health information only as permitted or required by its business associate contractor other arrangement pursuant to§ 164.,A business associate may use or disclose protected health information only as permitted or required by its business associate contractor other arrangement pursuant to§ 164.,,No
HIPAA-0236,164.314(a)(e),Security Standards,Requirement,N/A,"The business associate may not use or disclose protected health information in a manner that would violate the requirements of this subpart, if done by the covered entity , except for the purposes specified under § 164.","The business associate may not use or disclose protected health information in a manner that would violate the requirements of this subpart, if done by the covered entity , except for the purposes specified under § 164.",,No
HIPAA-0237,164.314(a)(i),Security Standards,Requirement,N/A,(A) or(B)if such uses or disclosures are permitted by its contractor other arrangement.,(A) or(B)if such uses or disclosures are permitted by its contractor other arrangement.,,No
HIPAA-0238,164.314(a)(i),Security Standards,Requirement,N/A,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,,No
HIPAA-0239,164.314(a)(4),Security Standards,Requirement,N/A,Business associates: required uses and disclosures.,Business associates: required uses and disclosures.,,No
HIPAA-0240,164.314(a)(4),Security Standards,Requirement,N/A,A business associate is required to disclose protected health information:.,A business associate is required to disclose protected health information:.,,No
HIPAA-0241,164.314(a)(i),Security Standards,Requirement,N/A,When required by the Secr etary under subpart C of par t 160 of this subchapter to inv estigate or determine the business associate 's compliance with this subchapter.,When required by the Secr etary under subpart C of par t 160 of this subchapter to inv estigate or determine the business associate 's compliance with this subchapter.,,No
HIPAA-0242,164.314(a)(ii),Security Standards,Requirement,N/A,"To the covered entity , individual, or individual's designee, as necessary to satisfy a covered entity's obligations under § 164.","To the covered entity , individual, or individual's designee, as necessary to satisfy a covered entity's obligations under § 164.",,No
HIPAA-0243,164.314(a)(ii),Security Standards,Requirement,N/A,With r espect to an individual's request for an electronic cop y of protected health information.,with r espect to an individual's request for an electronic cop y of protected health information.,,No
HIPAA-0244,164.314(a)(i),Security Standards,Requirement,N/A,"Use and disclosure of genetic information for under writing purposes: Notwithstanding any other provision of this subpart, a health plan, ex cluding an issuer of a long-term care policy falling within par agraph.","Use and disclosure of genetic information for under writing purposes: Notwithstanding any other provision of this subpart, a health plan, ex cluding an issuer of a long-term care policy falling within par agraph.",,No
HIPAA-0245,164.314(a)(viii),Security Standards,Requirement,N/A,"Of the definition of health plan, shall not use or disclose protected health information that is genetic information for under writing purposes.","of the definition of health plan, shall not use or disclose protected health information that is genetic information for under writing purposes.",,No
HIPAA-0246,164.314(a)(i),Security Standards,Requirement,N/A,"Of this section, under writing purposes means, with r espect to a health plan: (A)Except as provided in paragraph.","of this section, under writing purposes means, with r espect to a health plan: (A)Except as provided in paragraph.",,No
HIPAA-0247,164.314(a)(1),Security Standards,Requirement,N/A,"Rules for , or determination of, eligibility (including enrollment and continued eligibility) for , or determination of, benefits under the plan, co verage, or policy (including changes in deductibles or other cost-sharing mechanisms in return for activities such as completing a health risk assessmentor par ticipating in a wellness program);.","Rules for , or determination of, eligibility (including enrollment and continued eligibility) for , or determination of, benefits under the plan, co verage, or policy (including changes in deductibles or other cost-sharing mechanisms in return for activities such as completing a health risk assessmentor par ticipating in a wellness program);.",,No
HIPAA-0248,164.314(a)(2),Security Standards,Requirement,N/A,"The computation of pr emium or contribution amounts under the plan, co verage, or policy (including discounts, r ebates, payments in kind, or other pr emium diff erential mechanisms in return for activities such as completing a health risk assessmentor participating in a wellness pr ogram);.","The computation of pr emium or contribution amounts under the plan, co verage, or policy (including discounts, r ebates, payments in kind, or other pr emium diff erential mechanisms in return for activities such as completing a health risk assessmentor participating in a wellness pr ogram);.",,No
HIPAA-0249,164.314(a)(3),Security Standards,Requirement,N/A,"The application of any pr e-existing condition ex clusion under the plan, co verage, or policy; and.","The application of any pr e-existing condition ex clusion under the plan, co verage, or policy; and.",,No
HIPAA-0250,164.314(a)(4),Security Standards,Requirement,N/A,"Other activities related to the cr eation, r enewal, or r eplacementof a contractof health insur ance or health benefits.","Other activities related to the cr eation, r enewal, or r eplacementof a contractof health insur ance or health benefits.",,No
HIPAA-0251,164.314(a)(4),Security Standards,Requirement,N/A,"(B)Under writing purposes does not include determinations of medical appropriateness where an individual seeks a benefit under the plan, co verage, or policy.","(B)Under writing purposes does not include determinations of medical appropriateness where an individual seeks a benefit under the plan, co verage, or policy.",,No
HIPAA-0252,164.314(a)(ii),Security Standards,Requirement,N/A,Sale of protected health information: (A)Except pursuant to and in compliance with § 164.,Sale of protected health information: (A)Except pursuant to and in compliance with § 164.,,No
HIPAA-0253,164.314(a)(4),Security Standards,Requirement,N/A,", a covered entity or business associate may not sell protected health information.",", a covered entity or business associate may not sell protected health information.",,No
HIPAA-0254,164.314(a)(4),Security Standards,Requirement,N/A,"(B)For purposes of this par agraph, sale of protected health information means:.","(B)For purposes of this par agraph, sale of protected health information means:.",,No
HIPAA-0255,164.314(a)(ii),Security Standards,Requirement,N/A,"(B)( 2)of this section, a disclosure of protected health information by a covered entity or business associate, if applicable, where the covered entity or business associate directly or indirectly receives remuner ation from or on behalf of the r ecipientof the protected health information in exchange for the protected health information.","(B)( 2)of this section, a disclosure of protected health information by a covered entity or business associate, if applicable, where the covered entity or business associate directly or indirectly receives remuner ation from or on behalf of the r ecipientof the protected health information in exchange for the protected health information.",,No
HIPAA-0256,164.314(a)(2),Security Standards,Requirement,N/A,Sale of protected health information does not include a disclosure of protected health information:45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,Sale of protected health information does not include a disclosure of protected health information:45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,,No
HIPAA-0257,164.314(a)(e),Security Standards,Requirement,N/A,", where the only remuner ation received by the covered entity or business associate is a reasonable cost-based fee to co ver the cost to prepare and transmit the protected health information for such purposes;.",", where the only remuner ation received by the covered entity or business associate is a reasonable cost-based fee to co ver the cost to prepare and transmit the protected health information for such purposes;.",,No
HIPAA-0258,164.314(a)(iii),Security Standards,Requirement,N/A,For treatment and payment purposes pursuant to§ 164.,For treatment and payment purposes pursuant to§ 164.,,No
HIPAA-0259,164.314(a)(iv),Security Standards,Requirement,N/A,"For the sale, transfer, merger, or consolidation of all or par tof the covered entity and for related due diligence as described in par agraph.","For the sale, transfer, merger, or consolidation of all or par tof the covered entity and for related due diligence as described in par agraph.",,No
HIPAA-0260,164.314(a)(iv),Security Standards,Requirement,N/A,Of the definition of health care oper ations and pursuant to§ 164.,of the definition of health care oper ations and pursuant to§ 164.,,No
HIPAA-0261,164.314(a)(v),Security Standards,Requirement,N/A,"To or by a business associate for activities that the business associate under takes on behalf of a covered entity , or on behalf of a business associate in the case of a subcontractor, pursuant to§§ 164.","To or by a business associate for activities that the business associate under takes on behalf of a covered entity , or on behalf of a business associate in the case of a subcontractor, pursuant to§§ 164.",,No
HIPAA-0262,164.314(a)(e),Security Standards,Requirement,N/A,", and the only remuneration provided is by the covered entity to the business associate, or by the business associate to the subcontractor, if applicable, for the performance of such activities;.",", and the only remuneration provided is by the covered entity to the business associate, or by the business associate to the subcontractor, if applicable, for the performance of such activities;.",,No
HIPAA-0263,164.314(a)(viii),Security Standards,Requirement,N/A,"For any other purpose permitted by and in accor dance with the applicable requir ements of this subpart, where the only remuneration received by the covered entity or business associate is a reasonable, cost-based fee to co ver the cost to prepare and transmit the protected health information for such purpose or a fee other wise expr essly permitted by other law.","For any other purpose permitted by and in accor dance with the applicable requir ements of this subpart, where the only remuneration received by the covered entity or business associate is a reasonable, cost-based fee to co ver the cost to prepare and transmit the protected health information for such purpose or a fee other wise expr essly permitted by other law.",,No
HIPAA-0264,164.314(a)(iii),Security Standards,Requirement,N/A,"(B) and (C)of this section, a covered entity or business associate may not use or disclose protected health information for any of the following activities:.","(B) and (C)of this section, a covered entity or business associate may not use or disclose protected health information for any of the following activities:.",,No
HIPAA-0265,164.314(a)(1),Security Standards,Requirement,N/A,"To conduct a criminal, civil, or administrative investigation into any person for the mere actof seeking, obtaining, pr oviding, or facilitating reproductive health care.","To conduct a criminal, civil, or administrative investigation into any person for the mere actof seeking, obtaining, pr oviding, or facilitating reproductive health care.",,No
HIPAA-0266,164.314(a)(2),Security Standards,Requirement,N/A,"To impose criminal, civil, or administrative liability on any person for the mer e actof seeking, obtaining, pr oviding, or facilitating reproductive health care.","To impose criminal, civil, or administrative liability on any person for the mer e actof seeking, obtaining, pr oviding, or facilitating reproductive health care.",,No
HIPAA-0267,164.314(a)(3),Security Standards,Requirement,N/A,To identify any person for any purpose described in paragraphs.,To identify any person for any purpose described in paragraphs.,,No
HIPAA-0268,164.314(a)(iii),Security Standards,Requirement,N/A,"(A) of this section applies only where the relevant activity is in connection with any person seeking, obtaining, pr oviding, or facilitating reproductive health care, and the covered entity or business associate that receiv ed the request for protected health information has r easonably determined thatone or more of the following conditions exists:.","(A) of this section applies only where the relevant activity is in connection with any person seeking, obtaining, pr oviding, or facilitating reproductive health care, and the covered entity or business associate that receiv ed the request for protected health information has r easonably determined thatone or more of the following conditions exists:.",,No
HIPAA-0269,164.314(a)(1),Security Standards,Requirement,N/A,The reproductive health care is lawful under the law of the state in which such health care is provided under the cir cumstances in which it is provided.,The reproductive health care is lawful under the law of the state in which such health care is provided under the cir cumstances in which it is provided.,,No
HIPAA-0270,164.314(a)(1),Security Standards,Requirement,N/A,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,,No
HIPAA-0271,164.314(a)(2),Security Standards,Requirement,N/A,"The reproductive health care is protected, required, or authoriz ed by Federal law , including the United States Constitution, under the cir cumstances in which such health care is provided, r egar dless of the state in which it is provided.","The reproductive health care is protected, required, or authoriz ed by Federal law , including the United States Constitution, under the cir cumstances in which such health care is provided, r egar dless of the state in which it is provided.",,No
HIPAA-0272,164.314(a)(iii),Security Standards,Requirement,N/A,The reproductive health care provided by another person is pr esumed lawful under paragraph.,The reproductive health care provided by another person is pr esumed lawful under paragraph.,,No
HIPAA-0273,164.314(a)(2),Security Standards,Requirement,N/A,Of this section unless the covered entity or business associate has any of the following:.,of this section unless the covered entity or business associate has any of the following:.,,No
HIPAA-0274,164.314(a)(1),Security Standards,Requirement,N/A,Actual knowledge that the reproductive health care was not lawful under the circumstances in which it was provided.,Actual knowledge that the reproductive health care was not lawful under the circumstances in which it was provided.,,No
HIPAA-0275,164.314(a)(2),Security Standards,Requirement,N/A,Factual information supplied by the person requesting the use or disclosure of protected health information that demonstr ates a substantial factual basis that the reproductiv e health care was not lawful under the specific cir cumstances in which it was provided.,Factual information supplied by the person requesting the use or disclosure of protected health information that demonstr ates a substantial factual basis that the reproductiv e health care was not lawful under the specific cir cumstances in which it was provided.,,No
HIPAA-0276,164.314(a)(2),Security Standards,Requirement,N/A,"For the purposes of this subpart, seeking, obtaining, pr oviding, or facilitating reproductiv e health care includes, but is not limited to, any of the following: expr essing inter est in, using, per forming, furnishing, pa ying for , disseminating information about, arranging, insuring, administering, authorizing, pr oviding co verage for , appr oving, counseling about, assisting, or other wise taking action to engage in reproductive health care; or attempting any of the same.","For the purposes of this subpart, seeking, obtaining, pr oviding, or facilitating reproductiv e health care includes, but is not limited to, any of the following: expr essing inter est in, using, per forming, furnishing, pa ying for , disseminating information about, arranging, insuring, administering, authorizing, pr oviding co verage for , appr oving, counseling about, assisting, or other wise taking action to engage in reproductive health care; or attempting any of the same.",,No
HIPAA-0277,164.314(a)(b),Security Standards,Requirement,N/A,Standar d: Minimum necessary—Minimum necessary applies.,Standar d: Minimum necessary—Minimum necessary applies.,,No
HIPAA-0278,164.314(a)(b),Security Standards,Requirement,N/A,"When using or disclosing protected health information or when requesting protected health information from another covered entity or business associate, a covered entity or business associate must mak e reasonable effor ts to limit protected health information to the minimum necessary to accomplish the intended purpose of the use, disclosure, or request.","When using or disclosing protected health information or when requesting protected health information from another covered entity or business associate, a covered entity or business associate must mak e reasonable effor ts to limit protected health information to the minimum necessary to accomplish the intended purpose of the use, disclosure, or request.",,No
HIPAA-0279,164.314(a)(i),Security Standards,Requirement,N/A,disclosures to or requests by a health care provider for treatment;.,disclosures to or requests by a health care provider for treatment;.,,No
HIPAA-0280,164.314(a)(ii),Security Standards,Requirement,N/A,"Uses or disclosures made to the individual, as permitted under paragraph.","Uses or disclosures made to the individual, as permitted under paragraph.",,No
HIPAA-0281,164.314(a)(iii),Security Standards,Requirement,N/A,Uses or disclosures made pursuant to an authorization under § 164.,Uses or disclosures made pursuant to an authorization under § 164.,,No
HIPAA-0282,164.314(a)(iv),Security Standards,Requirement,N/A,disclosures made to the Secr etary in accor dance with subpart C of par t 160 of this subchapter;.,disclosures made to the Secr etary in accor dance with subpart C of par t 160 of this subchapter;.,,No
HIPAA-0283,164.314(a)(v),Security Standards,Requirement,N/A,"Uses or disclosures that are required by law , as described by§ 164.","Uses or disclosures that are required by law , as described by§ 164.",,No
HIPAA-0284,164.314(a)(vi),Security Standards,Requirement,N/A,Uses or disclosures that are required for compliance with applicable requirements of this subchapter.,Uses or disclosures that are required for compliance with applicable requirements of this subchapter.,,No
HIPAA-0285,164.314(a)(c),Security Standards,Requirement,N/A,Standar d: Uses and disclosures of protected health information subject to an agreed upon r estriction.,Standar d: Uses and disclosures of protected health information subject to an agreed upon r estriction.,,No
HIPAA-0286,164.314(a)(c),Security Standards,Requirement,N/A,A covered entity that has agreed to a r estriction pursuant to§ 164.,A covered entity that has agreed to a r estriction pursuant to§ 164.,,No
HIPAA-0287,164.314(a)(1),Security Standards,Requirement,N/A,"May not use or disclose the protected health information covered by the r estriction in violation of such r estriction, except as other wise provided in § 164.","may not use or disclose the protected health information covered by the r estriction in violation of such r estriction, except as other wise provided in § 164.",,No
HIPAA-0288,164.314(a)(d),Security Standards,Requirement,N/A,Standar d: Uses and disclosures of de-identified protected health information —45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,Standar d: Uses and disclosures of de-identified protected health information —45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,,No
HIPAA-0289,164.314(a)(1),Security Standards,Requirement,N/A,Uses and disclosures to create de-identified information.,Uses and disclosures to create de-identified information.,,No
HIPAA-0290,164.314(a)(1),Security Standards,Requirement,N/A,"A covered entity may use protected health information to create information that is not individually identifiable health information or disclose protected health information only to a business associate for such purpose, whether or not the de- identified information is to be used by the covered entity.","A covered entity may use protected health information to create information that is not individually identifiable health information or disclose protected health information only to a business associate for such purpose, whether or not the de- identified information is to be used by the covered entity.",,No
HIPAA-0291,164.314(a)(2),Security Standards,Implementation Specification,N/A,Health information that meets the standar d and implementation specifications for de-identification under § 164.,Health information that meets the standar d and implementation specifications for de-identification under § 164.,,No
HIPAA-0292,164.314(a)(b),Security Standards,Requirement,N/A,"Is consider ed not to be individually identifiable health information, i.","is consider ed not to be individually identifiable health information, i.",,No
HIPAA-0293,164.314(a)(b),Security Standards,Requirement,N/A,The requirements of this subpart do not apply to information that has been de-identified in accor dance with the applicable requirements of§ 164.,The requirements of this subpart do not apply to information that has been de-identified in accor dance with the applicable requirements of§ 164.,,No
HIPAA-0294,164.314(a)(i),Security Standards,Requirement,N/A,disclosure of a code or other means of r ecor d identification designed to enable coded or other wise de-identified information to be re-identified constitutes disclosure of protected health information; and.,disclosure of a code or other means of r ecor d identification designed to enable coded or other wise de-identified information to be re-identified constitutes disclosure of protected health information; and.,,No
HIPAA-0295,164.314(a)(ii),Security Standards,Requirement,N/A,"If de-identified information is re-identified, a covered entity may use or disclose such r e- identified information only as permitted or required by this subpart.","If de-identified information is re-identified, a covered entity may use or disclose such r e- identified information only as permitted or required by this subpart.",,No
HIPAA-0296,164.314(a)(i),Security Standards,Requirement,N/A,"A covered entity may disclose protected health information to a business associate and may allow a business associate to create, receive, maintain, or transmit protected health information on its behalf, if the covered entity obtains satisfactory assur ance that the business associate will appropriately safeguard the information.","A covered entity may disclose protected health information to a business associate and may allow a business associate to create, receive, maintain, or transmit protected health information on its behalf, if the covered entity obtains satisfactory assur ance that the business associate will appropriately safeguard the information.",,No
HIPAA-0297,164.314(a)(i),Security Standards,Requirement,N/A,A covered entity is not required to obtain such satisfactory assur ances from a business associate that is a subcontractor.,A covered entity is not required to obtain such satisfactory assur ances from a business associate that is a subcontractor.,,No
HIPAA-0298,164.314(a)(ii),Security Standards,Requirement,N/A,"A business associate may disclose protected health information to a business associate that is a subcontractor and may allow the subcontractor to create, receive, maintain, or transmit protected health information on its behalf, if the business associate obtains satisfactory assur ances, in accor dance with § 164.","A business associate may disclose protected health information to a business associate that is a subcontractor and may allow the subcontractor to create, receive, maintain, or transmit protected health information on its behalf, if the business associate obtains satisfactory assur ances, in accor dance with § 164.",,No
HIPAA-0299,164.314(a)(i),Security Standards,Requirement,N/A,", that the subcontractor will appropriately safeguar d the information.",", that the subcontractor will appropriately safeguar d the information.",,No
HIPAA-0300,164.314(a)(2),Security Standards,Requirement,N/A,The satisfactory assur ances required by paragraph.,The satisfactory assur ances required by paragraph.,,No
HIPAA-0301,164.314(a)(1),Security Standards,Requirement,N/A,Of this section must be documented thr ough a written contractor other written agreementor arrangement with the business associate that meets the applicable requirements of § 164.,of this section must be documented thr ough a written contractor other written agreementor arrangement with the business associate that meets the applicable requirements of § 164.,,No
HIPAA-0302,164.314(a)(f),Security Standards,Requirement,N/A,A covered entity must comply with the requirements of this subpart with respect to the protected health information of a deceased individual for a period of 50 years following the death of the individual.,A covered entity must comply with the requirements of this subpart with respect to the protected health information of a deceased individual for a period of 50 years following the death of the individual.,,No
HIPAA-0303,164.314(a)(1),Security Standards,Requirement,N/A,"As specified in this par agraph, a covered entity must, except as provided in paragraphs.","As specified in this par agraph, a covered entity must, except as provided in paragraphs.",,No
HIPAA-0304,164.314(a)(5),Security Standards,Requirement,N/A,"Of this section, tr eat a personal representative as the individual for purposes of this subchapter.","of this section, tr eat a personal representative as the individual for purposes of this subchapter.",,No
HIPAA-0305,164.314(a)(2),Security Standards,Implementation Specification,N/A,Adults and emancipated minors.,Implementation specification: Adults and emancipated minors.,,No
HIPAA-0306,164.314(a)(2),Security Standards,Requirement,N/A,"If under applicable law a person has authority to acton behalf of an individual who is an adultor an emancipated minor in making decisions related to health care, a covered entity must tr eat such person as a personal representativ e under this subchapter , with r espect to protected health information relevant to such personal r epresentation.","If under applicable law a person has authority to acton behalf of an individual who is an adultor an emancipated minor in making decisions related to health care, a covered entity must tr eat such person as a personal representativ e under this subchapter , with r espect to protected health information relevant to such personal r epresentation.",,No
HIPAA-0307,164.314(a)(2),Security Standards,Requirement,N/A,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,,No
HIPAA-0308,164.314(a)(i),Security Standards,Requirement,N/A,"If under applicable law a parent, guar dian, or other person acting in loco parentis has authority to acton behalf of an individual who is an unemancipated minor in making decisions related to health care, a covered entity must tr eat such person as a personal representative under this subchapter , with r espect to protected health information relevant to such personal r epresentation, except that such person may not be a personal representative of an unemancipated minor , and the minor has the authority to act as an individual, with r espect to protected health information per taining to a health care service, if: (A)The minor consents to such health care service; no other consent to such health care service is required by law , regar dless of whether the consentof another person has also been obtained; and the minor has not requested that such person be treated as the personal representative; (B)The minor may lawfully obtain such health care service without the consentof a parent, guar dian, or other person acting in loco parentis, and the minor , a cour t, or another person authoriz ed by law consents to such health care service; or (C)A parent, guar dian, or other person acting in loco parentis assents to an agreementof confidentiality between a covered health care provider and the minor with r espect to such health care service.","If under applicable law a parent, guar dian, or other person acting in loco parentis has authority to acton behalf of an individual who is an unemancipated minor in making decisions related to health care, a covered entity must tr eat such person as a personal representative under this subchapter , with r espect to protected health information relevant to such personal r epresentation, except that such person may not be a personal representative of an unemancipated minor , and the minor has the authority to act as an individual, with r espect to protected health information per taining to a health care service, if: (A)The minor consents to such health care service; no other consent to such health care service is required by law , regar dless of whether the consentof another person has also been obtained; and the minor has not requested that such person be treated as the personal representative; (B)The minor may lawfully obtain such health care service without the consentof a parent, guar dian, or other person acting in loco parentis, and the minor , a cour t, or another person authoriz ed by law consents to such health care service; or (C)A parent, guar dian, or other person acting in loco parentis assents to an agreementof confidentiality between a covered health care provider and the minor with r espect to such health care service.",,No
HIPAA-0309,164.314(a)(i),Security Standards,Requirement,N/A,"Of this section: (A)If, and to the extent, permitted or required by an applicable provision of State or other law , including applicable case law , a covered entity may disclose, or provide access in accor dance with § 164.","of this section: (A)If, and to the extent, permitted or required by an applicable provision of State or other law , including applicable case law , a covered entity may disclose, or provide access in accor dance with § 164.",,No
HIPAA-0310,164.314(a)(i),Security Standards,Requirement,N/A,"524 to, protected health information about an unemancipated minor to a parent, guar dian, or other person acting in loco parentis ; (B)If, and to the extent, pr ohibited by an applicable provision of State or other law , including applicable case law , a covered entity may not disclose, or provide access in accor dance with § 164.","524 to, protected health information about an unemancipated minor to a parent, guar dian, or other person acting in loco parentis ; (B)If, and to the extent, pr ohibited by an applicable provision of State or other law , including applicable case law , a covered entity may not disclose, or provide access in accor dance with § 164.",,No
HIPAA-0311,164.314(a)(i),Security Standards,Requirement,N/A,"524 to, protected health information about an unemancipated minor to a parent, guar dian, or other person acting in loco parentis ; and (C)where the parent, guar dian, or other person acting in loco parentis, is not the personal representativ e under paragraphs.","524 to, protected health information about an unemancipated minor to a parent, guar dian, or other person acting in loco parentis ; and (C)where the parent, guar dian, or other person acting in loco parentis, is not the personal representativ e under paragraphs.",,No
HIPAA-0312,164.314(a)(i),Security Standards,Requirement,N/A,"(A) ,(B), or(C)of this section and where there is no applicable access provision under State or other law , including case law , a covered entity may provide or deny access under § 164.","(A) ,(B), or(C)of this section and where there is no applicable access provision under State or other law , including case law , a covered entity may provide or deny access under § 164.",,No
HIPAA-0313,164.314(a)(i),Security Standards,Requirement,N/A,"524 to a parent, guar dian, or other person acting in loco parentis, if such action is consistent with State or other applicable law , provided that such decision must be made by a licensed health care professional, in the exercise of pr ofessional judgment.","524 to a parent, guar dian, or other person acting in loco parentis, if such action is consistent with State or other applicable law , provided that such decision must be made by a licensed health care professional, in the exercise of pr ofessional judgment.",,No
HIPAA-0314,164.314(a)(4),Security Standards,Requirement,N/A,"If under applicable law an ex ecutor, administr ator, or other person has authority to acton behalf of a deceased individual or of the individual's estate, a covered entity must tr eat such person as a personal representative under this subchapter , with r espect to protected health information relevant to such personal r epresentation.","If under applicable law an ex ecutor, administr ator, or other person has authority to acton behalf of a deceased individual or of the individual's estate, a covered entity must tr eat such person as a personal representative under this subchapter , with r espect to protected health information relevant to such personal r epresentation.",,No
HIPAA-0315,164.314(a)(4),Security Standards,Requirement,N/A,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,,No
HIPAA-0316,164.314(a)(5),Security Standards,Implementation Specification,N/A,"Abuse, neglect, endangerment situations.","Implementation specification: Abuse, neglect, endangerment situations.",,No
HIPAA-0317,164.314(a)(5),Security Standards,Requirement,N/A,"Notwithstanding a State law or any r equir ementof this par agraph to the contr ary, a covered entity may elect not to treat a person as the personal representative, provided that the conditions at paragraphs.","Notwithstanding a State law or any r equir ementof this par agraph to the contr ary, a covered entity may elect not to treat a person as the personal representative, provided that the conditions at paragraphs.",,No
HIPAA-0318,164.314(a)(i),Security Standards,Requirement,N/A,(A)The covered entity has a reasonable belief that any of the following is true:.,(A)The covered entity has a reasonable belief that any of the following is true:.,,No
HIPAA-0319,164.314(a)(1),Security Standards,Requirement,N/A,"The individual has been or may be subjected to domestic violence, abuse, or neglect by such person.","The individual has been or may be subjected to domestic violence, abuse, or neglect by such person.",,No
HIPAA-0320,164.314(a)(2),Security Standards,Requirement,N/A,Treating such person as the personal representative could endanger the individual.,Treating such person as the personal representative could endanger the individual.,,No
HIPAA-0321,164.314(a)(2),Security Standards,Requirement,N/A,"(B)The covered entity , in the ex ercise of pr ofessional judgment, decides that it is not in the best inter estof the individual to treat the person as the individual's personal representativ e.","(B)The covered entity , in the ex ercise of pr ofessional judgment, decides that it is not in the best inter estof the individual to treat the person as the individual's personal representativ e.",,No
HIPAA-0322,164.314(a)(ii),Security Standards,Requirement,N/A,The covered entity does not ha ve a reasonable belief under paragraph.,The covered entity does not ha ve a reasonable belief under paragraph.,,No
HIPAA-0323,164.314(a)(i),Security Standards,Requirement,N/A,(A) of this section if the basis for their belief is the provision or facilitation of reproductive health care by such person for and at the requestof the individual.,(A) of this section if the basis for their belief is the provision or facilitation of reproductive health care by such person for and at the requestof the individual.,,No
HIPAA-0324,164.314(a)(h),Security Standards,Requirement,N/A,A covered health care provider or health plan must comply with the applicable requirements of § 164.,A covered health care provider or health plan must comply with the applicable requirements of § 164.,,No
HIPAA-0325,164.314(a)(i),Security Standards,Requirement,N/A,Standar d: Uses and disclosures consistent with notice.,Standar d: Uses and disclosures consistent with notice.,,No
